Ackley,Step,Schwefel_1_2,Rastrigin,Quartic_with_noise,Rosenbrock,Sphere
11.85170552237932,12925.455573619574,32358.188479222536,351.84593611176933,149561101.82425737,7971860.165332063,26919.562969937437
5.682781618495039,12925.455573619574,23562.49618186195,324.13714020911294,149561101.82425737,1192285.718753375,10368.059451124109
5.682781618495039,12925.455573619574,23562.49618186195,275.08051608801026,75752696.592842,1192285.718753375,1800.731519841656
5.682781618495039,12925.455573619574,22709.025525305344,275.08051608801026,73437549.10408069,1044396.7546622192,1800.731519841656
5.682781618495039,11984.921491882556,13886.642825477227,252.70281652777996,73437549.10408069,1044396.7546622192,445.2531954203806
5.682781618495039,8327.798463189602,8646.484088810392,109.12059107803908,2606415.428664575,1044396.7546622192,445.2531954203806
5.682781618495039,4667.639865998266,8646.484088810392,109.12059107803908,1060246.4262682125,425465.94825130905,58.628358322364285
5.682781618495039,4667.639865998266,8646.484088810392,109.12059107803908,1060244.9515500092,170655.04866441962,58.628358322364285
5.293700150511086,4667.639865998266,6073.061927881763,109.12059107803908,46781.62651214821,67598.05174271294,20.96962206245
5.032256005845209,4667.639865998266,3919.093709636678,109.12059107803908,46778.76703634932,5492.643304789779,20.96962206245
5.032256005845209,4145.566643282474,2402.750787009094,109.12059107803908,46778.76703634932,5492.643304789779,1.0891009571415322
5.032256005845209,2485.241957404991,1640.080626259628,109.12059107803908,46778.76703634932,5492.643304789779,1.0891009571415322
4.759941206599109,1763.0197715331274,1130.250568124632,4.012872585804985,46778.76703634932,5492.643304789779,0.5982550246902122
4.193560638877049,1179.130371394844,1130.250568124632,2.445831187132512,46778.76703634932,5492.643304789779,0.4598959916687908
3.828376693859629,1179.130371394844,1094.123494991317,2.445831187132512,46778.76703634932,5492.643304789779,0.4492031041708148
3.3861189178210123,1179.130371394844,1035.4159760025698,2.445831187132512,46778.76703634932,3416.5248377112894,0.3785716173309072
3.3755210641863056,1179.130371394844,652.6466628334158,2.445831187132512,46778.76703634932,2509.388032773743,0.3785716173309072
